strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
2018-01-2716	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530478	SAMEA8399327	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2723	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530385	SAMEA8399328	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2729	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530468	SAMEA8399330	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2730	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530455	SAMEA8399332	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2734	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530492	SAMEA8399335	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2776	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530517	SAMEA8399336	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2782	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530493	SAMEA8399337	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2839	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530506	SAMEA8399340	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2860	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530460	SAMEA8399341	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2861	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530411	SAMEA8399343	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2926	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530328	SAMEA8399344	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2939	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530321	SAMEA8399345	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2940	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530401	SAMEA8399347	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3012	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530327	SAMEA8399349	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3029	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530377	SAMEA8399350	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3030	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530361	SAMEA8399352	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3042	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530368	SAMEA8399353	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3046	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530418	SAMEA8399354	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3094	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530335	SAMEA8399355	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3095	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530475	SAMEA8399357	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3096	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530366	SAMEA8399359	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3115	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530388	SAMEA8399360	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3125	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530381	SAMEA8399361	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3163	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530329	SAMEA8399362	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3218	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530514	SAMEA8399363	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3247	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530466	SAMEA8399366	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3254	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530362	SAMEA8399367	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3269	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530324	SAMEA8399368	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3295	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530464	SAMEA8399369	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3296	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530383	SAMEA8399370	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3297	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530439	SAMEA8399371	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3305	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530357	SAMEA8399372	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3334	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530495	SAMEA8399373	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3408	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530403	SAMEA8399374	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3447	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530393	SAMEA8399376	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3448	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530392	SAMEA8399377	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3463	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530342	SAMEA8399378	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3464	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530462	SAMEA8399379	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3465	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530408	SAMEA8399380	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3545	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530434	SAMEA8399381	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3554	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530402	SAMEA8399388	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3576	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530413	SAMEA8399389	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-358	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530477	SAMEA8399390	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3590	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530389	SAMEA8399391	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3596	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530355	SAMEA8399392	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3650	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530436	SAMEA8399393	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3688	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530427	SAMEA8399395	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3692	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530520	SAMEA8399397	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3723	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530450	SAMEA8399398	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3773	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530437	SAMEA8399401	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3776	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530340	SAMEA8399402	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3777	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530467	SAMEA8399403	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3779	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530343	SAMEA8399404	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3780	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530352	SAMEA8399405	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3781	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530507	SAMEA8399406	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3805	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530510	SAMEA8399407	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3863	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530446	SAMEA8399408	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3864	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530325	SAMEA8399409	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-388	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530430	SAMEA8399410	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-389	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530396	SAMEA8399414	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3892	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530359	SAMEA8399412	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3893	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530503	SAMEA8399413	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3925	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530339	SAMEA8399416	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3926	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530498	SAMEA8399417	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3928	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530360	SAMEA8399418	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3929	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530500	SAMEA8399419	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3934	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530472	SAMEA8399422	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3935	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530333	SAMEA8399423	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-3975	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530349	SAMEA8399424	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4019	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530380	SAMEA8399425	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4046	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530422	SAMEA8399426	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4107	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530405	SAMEA8399427	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4108	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530407	SAMEA8399428	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4174	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530461	SAMEA8399429	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4175	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530412	SAMEA8399430	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4196	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530489	SAMEA8399431	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4197	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530319	SAMEA8399432	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4203	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530457	SAMEA8399433	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4247	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530486	SAMEA8399434	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4248	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530485	SAMEA8399435	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4306	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530473	SAMEA8399436	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4341	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530398	SAMEA8399437	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4379	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530502	SAMEA8399438	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4390	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530482	SAMEA8399439	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4458	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530386	SAMEA8399440	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4459	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530438	SAMEA8399441	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4460	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530515	SAMEA8399442	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4487	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530338	SAMEA8399443	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4514	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530429	SAMEA8399444	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4639	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530474	SAMEA8399445	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4652	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530454	SAMEA8399446	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4653	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530414	SAMEA8399447	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4682	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530496	SAMEA8399448	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-473	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530518	SAMEA8399453	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4734	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530337	SAMEA8399449	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4735	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530471	SAMEA8399450	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4736	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530371	SAMEA8399451	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-4739	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530369	SAMEA8399452	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-474	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530394	SAMEA8399454	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-475	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530433	SAMEA8399455	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-476	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530420	SAMEA8399457	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
