strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
ERR474534	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474534	SAMEA2273726	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474535	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474535	SAMEA2273727	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474538	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474538	SAMEA2273735	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474540	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474540	SAMEA2273737	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474541	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474541	SAMEA2273740	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474543	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474543	SAMEA2273742	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474544	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474544	SAMEA2273743	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474545	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474545	SAMEA2273744	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474547	ciprofloxacin	S	-	0.06	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474547	SAMEA2273748	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474548	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474548	SAMEA2273749	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474551	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474551	SAMEA2273753	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474552	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474552	SAMEA2273754	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474553	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474553	SAMEA2273757	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR474559	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474559	SAMEA2273765	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486274	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486274	SAMEA2273516	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2001
ERR486281	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486281	SAMEA2273523	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2001
ERR486283	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486283	SAMEA2273525	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2001
ERR486284	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486284	SAMEA2273527	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2001
ERR486285	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486285	SAMEA2273528	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2001
ERR486288	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486288	SAMEA2273532	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486289	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486289	SAMEA2273533	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2002
ERR486290	ciprofloxacin	R	-	32	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486290	SAMEA2273534	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486291	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486291	SAMEA2273536	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486292	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486292	SAMEA2273537	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486294	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486294	SAMEA2273539	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486298	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486298	SAMEA2273545	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486299	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486299	SAMEA2273546	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486302	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486302	SAMEA2273549	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486305	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486305	SAMEA2273552	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486310	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486310	SAMEA2273557	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486311	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486311	SAMEA2273558	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486312	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486312	SAMEA2273559	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486316	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486316	SAMEA2273563	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486321	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486321	SAMEA2273569	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486322	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486322	SAMEA2273570	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486323	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486323	SAMEA2273571	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486326	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486326	SAMEA2273574	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486328	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486328	SAMEA2273576	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486332	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486332	SAMEA2273581	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486333	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486333	SAMEA2273582	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486334	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486334	SAMEA2273583	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486335	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486335	SAMEA2273584	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486336	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486336	SAMEA2273585	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486337	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486337	SAMEA2273587	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486343	ciprofloxacin	S	-	0.06	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486343	SAMEA2273596	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486345	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486345	SAMEA2273598	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486346	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486346	SAMEA2273599	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486347	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486347	SAMEA2273600	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486349	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486349	SAMEA2273602	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486350	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486350	SAMEA2273603	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2004
ERR486351	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486351	SAMEA2273604	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486352	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486352	SAMEA2273605	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2002
ERR486353	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486353	SAMEA2273606	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486354	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486354	SAMEA2273607	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2003
ERR486356	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486356	SAMEA2273609	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486359	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486359	SAMEA2273612	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486360	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486360	SAMEA2273614	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486361	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486361	SAMEA2273615	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486362	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486362	SAMEA2273616	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486365	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486365	SAMEA2273619	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486366	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486366	SAMEA2273620	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486367	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486367	SAMEA2273622	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486369	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486369	SAMEA2273624	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486370	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486370	SAMEA2273625	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486372	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486372	SAMEA2273629	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486374	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486374	SAMEA2273631	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486375	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486375	SAMEA2273632	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486376	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486376	SAMEA2273634	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2004
ERR486378	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486378	SAMEA2273636	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR486379	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486379	SAMEA2273637	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR486381	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486381	SAMEA2273767	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486383	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486383	SAMEA2273769	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486387	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486387	SAMEA2273775	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486388	ciprofloxacin	S	-	0.06	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486388	SAMEA2273776	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486389	ciprofloxacin	R	-	32	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486389	SAMEA2273777	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486390	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486390	SAMEA2273778	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486391	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486391	SAMEA2273779	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2009
ERR486392	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486392	SAMEA2273781	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486393	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486393	SAMEA2273783	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486394	ciprofloxacin	S	-	0.06	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486394	SAMEA2273784	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486396	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486396	SAMEA2273786	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2005
ERR486397	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486397	SAMEA2273787	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR486398	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486398	SAMEA2273790	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR486399	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486399	SAMEA2273791	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2008
ERR486400	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486400	SAMEA2273792	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486401	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486401	SAMEA2273793	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486402	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486402	SAMEA2273794	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486403	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486403	SAMEA2273795	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486404	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486404	SAMEA2273796	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486405	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486405	SAMEA2273797	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2009
ERR486406	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486406	SAMEA2273798	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486407	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486407	SAMEA2273799	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486408	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486408	SAMEA2273800	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486409	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486409	SAMEA2273801	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486410	ciprofloxacin	S	-	0.03	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486410	SAMEA2273802	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486411	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486411	SAMEA2273803	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486412	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486412	SAMEA2273804	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486413	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486413	SAMEA2273805	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486414	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486414	SAMEA2273806	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486415	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486415	SAMEA2273807	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486416	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486416	SAMEA2273808	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486417	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486417	SAMEA2273809	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486418	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486418	SAMEA2273810	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486419	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486419	SAMEA2273811	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486420	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486420	SAMEA2273812	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486421	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486421	SAMEA2273813	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486422	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486422	SAMEA2273814	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486423	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486423	SAMEA2273815	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2010
ERR486424	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486424	SAMEA2273816	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2010
ERR486426	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486426	SAMEA2273818	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486427	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486427	SAMEA2273819	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486428	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486428	SAMEA2273820	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486429	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486429	SAMEA2273821	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486430	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486430	SAMEA2273822	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486431	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486431	SAMEA2273823	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486441	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486441	SAMEA2273833	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2010
ERR486455	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486455	SAMEA2273847	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2011
ERR486456	ciprofloxacin	I	-	0.5	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486456	SAMEA2273848	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2011
ERR486457	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486457	SAMEA2273849	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2011
ERR486458	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486458	SAMEA2273850	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2011
ERR486459	ciprofloxacin	R	-	8	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486459	SAMEA2273851	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2011
ERR486460	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR486460	SAMEA2273852	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2011
